#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Melodia","Melinda Ademi",0,99,"albanian pop","Pop","Melodia",2021-11-06,02:50,57,74,28,0,42,10,10,-7,D#/E♭ Minor,4,2023-06-03,4kyD4246gRwjuQTV2lZC1D,"℗ & © AVD Digital & Melinda Ademi",2A,,https://i.scdn.co/image/ab67616d000048514a5d20db28e1e8e89be5aa4e
2,"KARMA","Nego",34,91,"albanian pop","Pop","KARMA",2020-12-19,02:59,53,93,14,0,88,10,10,-5,G#/A♭ Minor,4,2023-06-03,4lSj5aP1q3o0Rj6WDLogkm,"Naser Ademi",1A,https://p.scdn.co/mp3-preview/987e13bf3e130626e2ac03c7ab6798114374c310?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c300d046efecee754457efd
3,"Mi-E Dor De Noi","DJ Project,Giulia",42,128,"romanian house, romanian pop, classic romanian pop","Pop, Electronic","Mi-E Dor De Noi",2011-06-14,04:07,64,92,0,0,78,0,40,-6,F#/G♭ Minor,4,2023-06-04,3bjPjviqPv3Z4iGL6prwH4,"2011 Cat Music",11A,https://p.scdn.co/mp3-preview/523c3d789a87088d3a2d83e599bc985ca98e0997?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851840db8b19c90405c6a44e1e5
4,"Numai tu! (cu DJ PROJECT)","Annais,DJ Project",35,114,"romanian house, romanian pop","Electronic, Pop","Numai tu! (cu DJ PROJECT)",2023-03-21,03:05,62,68,13,0,46,0,30,-7,C Major,4,2023-07-03,0gLguMbRrQIOO7JxkUx8w7,"Global Records",8B,https://p.scdn.co/mp3-preview/0d8786f4d704ab833b99f00bf998db28ff88561b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f098c94408590fce9e449e81
5,"Unu - LLP Remix","3 Sud Est,LLP",12,98,"classic romanian pop, romanian pop, ","Pop","Unu (LLP Remix)",2023-04-22,02:57,72,74,9,0,36,0,10,-8,A Minor,4,2023-06-12,2qD1baxmlnIP2FAPydFaZo,"Cat Music",8A,https://p.scdn.co/mp3-preview/7d28ffc38e6baad976f3373b59e40c7dab2c818c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515debc9445ae0c2951fc0ecdc
6,"Ljubavi Moja","Dado Polumenta,Elitni Odredi",44,128,"montenegrin pop, turbo folk","Pop, Folk/Acoustic","Ne Dam Ja Na Tebe",2013-00-00,03:35,54,81,25,0,55,0,0,-6,G Minor,4,2023-07-03,5dWiu96KHZpRog8pT8rM3S,"City Records",6A,https://p.scdn.co/mp3-preview/eef9e7642bce341e20525bf726e34649f7c6b602?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf3fb6d4fe2b56642b6cdc97
7,"Fali tren","Nina Todorovic",51,115,"turbo folk","Folk/Acoustic","Fali tren",2021-03-31,02:12,70,77,2,0,49,0,10,-4,A#/B♭ Minor,4,2023-07-03,6t5Ri4y1k9DJ1Y22E8uiQt,"Parabellum Official",3A,https://p.scdn.co/mp3-preview/ca2c6d26c92d75652f018834e5e354060c616453?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485138b019e9a3f794b7397c6030
8,"Koraci U Noci","Vuk Mob,Voyage,Breskvica",49,128,"turbo folk","Folk/Acoustic","Koraci U Noci",2019-12-12,03:22,87,67,34,0,77,0,10,-5,B Minor,4,2023-07-03,4RqPMTMjyeQkB2EWlW48wn,"IDJTunes",10A,https://p.scdn.co/mp3-preview/de7c08b2c07fd3b2ea5b41ba3b6a4fd5746072d9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f2946af73d42d48b8e007e13
9,"Фантом","Sleepy Andy",0,140,"ukrainian hip hop","Hip Hop","Фантом",2021-11-26,03:01,65,57,23,0,35,0,0,-10,D Major,4,2023-07-07,0IuEZXgGo25Ao2kfuE8hSr,"popil.if",10B,,https://i.scdn.co/image/ab67616d00004851d4202981948e21eb06d1c664
10,"Знову","Golubenko",52,115,"ukrainian pop","Pop","Знову",2022-07-06,02:30,80,61,21,0,71,0,10,-6,C♯/D♭ Minor,4,2023-07-07,1EDpJu7WJlZYq0dbAJ7Hkv,"Black Beats",12A,https://p.scdn.co/mp3-preview/3d7420e50a3831fa1260649267bdb4daab1bb2bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851607dee95ac346c30f6ae673a
