#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Melodia","Melinda Ademi",0,99,"albanian pop","Pop","Melodia",2021-11-06,02:50,57,74,28,0,42,10,10,-7,D#/E♭ Minor,4,2023-06-03,4kyD4246gRwjuQTV2lZC1D,"℗ & © AVD Digital & Melinda Ademi",2A,,https://i.scdn.co/image/ab67616d000048514a5d20db28e1e8e89be5aa4e
2,"Monotonia","2Ton,Nego",41,96,"albanian hip hop, albanian pop","Hip Hop, Pop","Monotonia",2022-10-21,02:31,76,74,48,0,66,10,10,-5,E Major,4,2023-06-03,6MIC54EexRABzYduuqb4hB,"2Ton, by Yellowcake, Inc.",12B,https://p.scdn.co/mp3-preview/ed865ffa46909e62ef133c1ccb56feece0290035?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515dbdf87df179ce20a6cec0ff
3,"KARMA","Nego",35,91,"albanian pop","Pop","KARMA",2020-12-19,02:59,53,93,14,0,88,10,10,-5,G#/A♭ Minor,4,2023-06-03,4lSj5aP1q3o0Rj6WDLogkm,"Naser Ademi",1A,https://p.scdn.co/mp3-preview/987e13bf3e130626e2ac03c7ab6798114374c310?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c300d046efecee754457efd
4,"Toata noaptea - Speed Up Version","Juno,MIRA",9,105,"romanian pop, romanian trap","Pop, Hip Hop","Toata noaptea (Speed Up Version)",2022-10-05,02:33,69,80,27,0,66,10,10,-8,C♯/D♭ Major,4,2023-06-03,1oC66EklXMiASkqHwXBsQU,"HaHaHa Production",3B,https://p.scdn.co/mp3-preview/732adb0fffb9f2733afe5e214d733664d2f32afb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511e06a83aacf197f3cabdc6f3
5,"Răsărit perfect","Olivia Addams",51,122,"romanian pop","Pop","Răsărit perfect",2022-05-13,03:13,74,68,23,0,50,0,30,-6,D Minor,4,2023-06-04,5KgKG8kXtuGrAdMogyAXso,"Global Records & Creator Records",7A,https://p.scdn.co/mp3-preview/63cf90e2246c1c44e9e35d40a3f6422e4a72e1a4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851acbaa4aa0f53fb04409c9854
6,"Mi-E Dor De Noi","DJ Project,Giulia",42,128,"romanian house, romanian pop, classic romanian pop","Pop, Electronic","Mi-E Dor De Noi",2011-06-14,04:07,64,92,0,0,78,0,40,-6,F#/G♭ Minor,4,2023-06-04,3bjPjviqPv3Z4iGL6prwH4,"2011 Cat Music",11A,https://p.scdn.co/mp3-preview/523c3d789a87088d3a2d83e599bc985ca98e0997?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851840db8b19c90405c6a44e1e5
7,"Numai tu! (cu DJ PROJECT)","Annais,DJ Project",37,114,"romanian house, romanian pop","Electronic, Pop","Numai tu! (cu DJ PROJECT)",2023-03-21,03:05,62,68,13,0,46,0,30,-7,C Major,4,2023-07-03,0gLguMbRrQIOO7JxkUx8w7,"Global Records",8B,https://p.scdn.co/mp3-preview/0d8786f4d704ab833b99f00bf998db28ff88561b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f098c94408590fce9e449e81
8,"Жіберем қалай? - Speed Up Version","Duman",42,185,"kazakh pop","Pop","Жіберем қалай? (Speed Up Version)",2022-07-27,01:54,55,70,51,0,33,10,20,-7,C Minor,4,2023-06-16,2DdrLh5vCviur3lGBORR4c,"Turan Media",5A,https://p.scdn.co/mp3-preview/afa13455bf7e68e2a582907af00c2bc9a8208bd5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485125e5942e789244ffad2979ce
9,"Оп-Оңай","Марат Думан",28,130,"kazakh pop","Pop","Оп-Оңай",2020-07-09,02:56,68,49,35,0,39,0,10,-7,F#/G♭ Minor,4,2023-06-16,66CjNb1x099d4dyuudJall,"Gakku",11A,https://p.scdn.co/mp3-preview/b909bd780326b111bc2287a5070015cbeb0d7a8d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf9b25bb08f598e5d55f2138
10,"Unu - LLP Remix","3 Sud Est,LLP",15,98,"classic romanian pop, romanian pop, ","Pop","Unu (LLP Remix)",2023-04-22,02:57,72,74,9,0,36,0,10,-8,A Minor,4,2023-06-12,2qD1baxmlnIP2FAPydFaZo,"Cat Music",8A,https://p.scdn.co/mp3-preview/7d28ffc38e6baad976f3373b59e40c7dab2c818c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515debc9445ae0c2951fc0ecdc
