#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
71,"П'яна вишня","Тоні Браско",37,149,"ukrainian pop","Pop","П'яна вишня",2022-11-18,02:20,43,56,33,0,28,0,10,-8,F#/G♭ Minor,4,2023-09-25,3hWwW3YP7WHxIueEzJWtSY,"MUV / TONY BRASKO",11A,https://p.scdn.co/mp3-preview/6ddf01f092348b6e525ea6e6b9e6646e4eb13f89?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b9170f7ed884f106992cea31
72,"Не твоя","ОЧІ В ОЧІ",35,116,"ukrainian pop","Pop","Не твоя",2023-02-09,03:06,79,75,7,0,32,0,10,-7,A#/B♭ Minor,4,2023-09-25,3uZlFMh9O0Tz1pUC0DlZyp,"ОЧІ В ОЧІ",3A,https://p.scdn.co/mp3-preview/3592f56909b45fb43f76e07b634b391fc12533cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ffc9c16b7f124a1b5e15d04e
73,"Останній день","SadSvit",41,147,"ukrainian post-punk","","Неонова мрія",2023-02-17,02:59,59,83,0,1,24,0,20,-6,F#/G♭ Minor,4,2023-09-25,4uTDej1AvrHzdaKy1z03Xf,"Svit music",11A,https://p.scdn.co/mp3-preview/b50d03f71fb83046a2b8702df1feff1324039aae?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e36c4a1bb95c7237216f2538
74,"Силуети","SadSvit,СТРУКТУРА ЩАСТЯ",63,77,"ukrainian post-punk, ukrainian viral pop","Pop","Силуети",2022-10-28,02:57,53,86,2,3,39,0,20,-7,G#/A♭ Major,4,2023-09-25,61BaxM1NIcadLu3gtWm2uT,"Svit music",4B,https://p.scdn.co/mp3-preview/39c5113a9e00acd52118ac56fde33b7e34f7fe95?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ff97da57bb48564dc79b8cd
75,"Zhylytu","Shokan Ualikhan",29,90,"kazakh pop","Pop","Zhylytu",2021-07-13,02:41,61,45,62,2,33,0,10,-12,E Minor,4,2023-10-07,4m9owWEph7u6WvHJCN27rp,"Qara Bala Sound",9A,https://p.scdn.co/mp3-preview/9fb744da29ce449951a71587805a0c050b5ca812?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512b0156788ef92c4d55fdbf6b
76,"Тенета","BOTASHE",35,115,"ukrainian hip hop, ukrainian pop, ukrainian viral pop","Hip Hop, Pop","Тенета",2022-09-27,03:23,77,57,15,0,7,0,10,-8,C Major,4,2023-10-07,1ML6a5DwvfmTXbW8SQ7ax1,"BOTASHE",8B,https://p.scdn.co/mp3-preview/88f02b2cb1efd0a65e57ed37f7068b47c5d4735f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851da87e6999794c9cce61d73db
77,"Decât Să Minți","Guess Who",50,81,"romanian rap","Hip Hop","Tot Mai Sus",2011-09-20,03:35,70,57,4,0,43,0,10,-7,D#/E♭ Minor,4,2023-10-08,495sPxWPnOtEBNBx5f5I9Q,"Okapi Sound / Music Expert Company",2A,https://p.scdn.co/mp3-preview/f515e590f0cb04a9d8c97ee5a78aece904012636?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f8de3c3ff41fe56f4feb8141
78,"Про нас","Vitaliy Kozlovskiy",37,123,"ukrainian pop","Pop","Про нас",2023-02-10,03:15,72,75,2,0,16,0,10,-6,G Major,4,2023-10-08,5DMpLDD64p79FO2WHzgnB3,"Віталій Козловський",9B,https://p.scdn.co/mp3-preview/e1142dbcb140a84ba3ef27cd028f4d73841167ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b10a7eb640ee162736d77c5
79,"Sunce I Mesec","X",29,150,"","","Sunce I Mesec",2020-06-05,02:34,68,64,9,0,29,10,10,-7,C♯/D♭ Minor,4,2023-10-08,4Y7llpOsWMbQVigWWJ6HlG,"1898808 Records DK",12A,https://p.scdn.co/mp3-preview/7ad709630a4ba408dd99bf317fb81a63cee64e11?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bb8bcbc3abade6c6afb5568b
80,"Garava","Devito,Voyage",58,95,"balkan trap, turbo folk","Hip Hop, Folk/Acoustic","Plava Krv",2023-05-23,02:27,63,86,5,0,86,0,0,-5,G Major,4,2023-10-09,15ocbYIQVuxXpfyxTC6dX4,"IDJTunes",9B,https://p.scdn.co/mp3-preview/21778dc8e873299ad36bc3f4b6610186e8469080?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bc10411c9ced977d5d6f5bb4
81,"Te-am sunat","Eva Timush,rares",50,154,"romanian pop","Pop","Te-am sunat",2023-07-14,02:51,66,90,30,0,73,0,0,-3,F#/G♭ Major,4,2023-10-09,1yRmjGXdzg3bmOxSCS1K4T,"Global Records",2B,https://p.scdn.co/mp3-preview/0762663684b2369750602d096f86debbd1794618?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f9cddf95295ddcb4ce985891
82,"Ultima decizie","Florian Rus",44,81,"romanian pop","Pop","Ultima decizie",2023-09-29,02:42,65,78,37,0,69,0,20,-5,A Major,4,2023-10-09,0QZfLMozEspiO92OVJWKFY,"Global Records",11B,https://p.scdn.co/mp3-preview/d8dbed2d6e7708d704c1d83a93def0fedba4c5d0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851599e4c3f16841928241ec8d6
83,"Pentru ca","Andia,Deliric",58,130,"romanian pop, romanian rap","Pop, Hip Hop","Pentru ca",2023-10-05,03:12,61,63,3,0,44,0,0,-8,F Minor,4,2023-10-09,6xAefOqCvDKEcOjPovAMc6,"AtoM",4A,https://p.scdn.co/mp3-preview/6e6479ed115465e2c6cf03ee10a8533713ea0e3d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511bf439a1553bb4976d391550
84,"Opriți planeta","Puya,IRAIDA",59,115,"manele, romanian pop, romanian rap, ","Hip Hop, Pop","Opriți planeta",2023-07-28,03:12,78,79,42,0,82,10,20,-6,C Minor,4,2023-10-09,60786D8cN9UQntKlwEngaG,"GLBxS",5A,https://p.scdn.co/mp3-preview/11c5c996a0b8b365888e1a13c30ed876ae512a43?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851908fadc12ba264bc5434dc10
85,"Inseparabili","3 Sud Est,Andia",54,132,"classic romanian pop, romanian pop","Pop","Inseparabili",2023-07-11,03:21,67,55,44,0,30,0,30,-6,E Major,4,2023-10-09,51w2BPVl5ntx8Wylm1HMID,"Cat Music",12B,https://p.scdn.co/mp3-preview/b4f399eefc683a0b1fe1ede606b969660f969504?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851240393a7f1f9dd80801560d6
