#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
34,"Malena","Numen",33,95,"albanian pop","Pop","Malena",2021-08-10,02:38,67,57,76,1,51,10,0,-7,C♯/D♭ Major,4,2023-07-08,57n0dSkc6LSLAcROqArKhs,"Reverse",3B,https://p.scdn.co/mp3-preview/e5bbd4e80ce717fc61ffe665653670eff03212b5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a59f0b324fe686abcae149d3
35,"Зачекай","ОЧІ В ОЧІ",36,110,"ukrainian pop","Pop","Зачекай",2022-11-04,02:39,74,83,31,0,60,10,10,-5,G#/A♭ Minor,4,2023-07-09,4P8a0deTjgpicm194xxdnL,"VINVONA",1A,https://p.scdn.co/mp3-preview/bf2706b1f3087e29862687aaf6b9ef28a9afa635?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518eaf6ccb456257db87fc7373
36,"БОЖЕВОЛІЮ","Pauchek",31,140,"ukrainian pop","Pop","БОЖЕВОЛІЮ",2023-01-11,02:14,60,66,58,0,74,0,10,-7,B Minor,4,2023-07-10,6jk53quUAKWshLPFuOSubv,"GLOVA RECORDS",10A,https://p.scdn.co/mp3-preview/2283f22cfa3cc84c60807e0891f5604f04bcbb82?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485151c3293ef6de94d4d805abed
37,"Da Ili Ne","Krisko",42,94,"bulgarian hip hop, bulgarian pop, chalga","Hip Hop, Pop, New age","Da Ili Ne",2019-06-11,03:21,75,85,57,0,69,0,0,-4,G#/A♭ Minor,4,2023-07-11,2rT6xyUhl3d1rGnvSjnWXz,"Facing The Sun",1A,https://p.scdn.co/mp3-preview/adf906c0766cc781bc1bd60dbd3c8bff6742bc28?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108c11ecebf1bdedc22edc71e
38,"Злидні","Cresco",15,126,"ukrainian hip hop","Hip Hop","Гештальт",2021-12-01,02:55,50,68,52,0,56,0,10,-8,D#/E♭ Minor,4,2023-07-17,2Mrr9YEOYc8pD667MuZ7GC,"Rolling Wave Records",2A,https://p.scdn.co/mp3-preview/0d9f40c624d5b718157a0109d7405a6c3e5cec80?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519e864f7f7904b4229d0bb62f
39,"Kerek Emes","Kenjebek Nurdolday",38,145,"","","Kerek Emes",2022-03-17,02:34,57,28,43,2,54,0,0,-13,C♯/D♭ Major,4,2023-07-17,5G4UJpAwxAvZ7a4RGpLyDP,"Kenjebek Nurdolday",3B,https://p.scdn.co/mp3-preview/88cad7d8ffc63521c482ca5264cddbae48d20a48?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c382de190696b924d5af358a
40,"Все що не сказав","БетБіт",9,114,"","","Все що не сказав",2023-05-06,02:52,74,75,50,0,70,0,10,-5,G#/A♭ Major,4,2023-07-19,1SBOSSypx95jH7v1kSbO3i,"БетБіт",4B,https://p.scdn.co/mp3-preview/bff2ab44df20a50974756621b26c0181b8ffc44a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a7cedd806025c8f809a5c6ef
41,"Гештальт","Cresco",2,133,"ukrainian hip hop","Hip Hop","Гештальт",2021-12-01,02:41,62,73,39,0,25,0,0,-6,F#/G♭ Minor,4,2023-07-19,7h1XVpkKZrtWX46ViD6Hjg,"Rolling Wave Records",11A,https://p.scdn.co/mp3-preview/f63ab03f17fda80949275683436a7df85f8f4ce6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519e864f7f7904b4229d0bb62f
42,"Весна","Mrzv",27,138,"","","Весна",2023-05-03,02:27,48,43,68,3,24,10,10,-9,E Major,5,2023-07-19,1Ovga4Tgo9tCcD2X5D1k6q,"ObrazcovMusic",12B,https://p.scdn.co/mp3-preview/c68f07ef696b6010d3be40e2a981fff157f8949c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515631929f601e898e097e40b4
43,"Гриміти","Tochi",15,135,"","","Гриміти",2023-03-06,02:12,72,65,18,0,96,0,10,-8,F Minor,4,2023-07-20,4hDLWTwWBthCUrZd17Gg3h,"hitmakers",4A,https://p.scdn.co/mp3-preview/f48240ea06b4453a3aa3d348489e5167e46222ba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485116abb83a656593dfac89c904
44,"Qansha kun?","Sadraddin",51,108,"kazakh hip hop","Hip Hop","Qansha kun?",2023-07-05,02:46,69,77,16,0,84,0,10,-5,F Minor,4,2023-07-20,0kGOxOKLhO0cbWuyogXRns,"Turan Media",4A,https://p.scdn.co/mp3-preview/6aab73d3be526065d2c6d60d44a729794b3dd77e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a41a7424484f893fd4fe56be
