#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
48,"Все що не сказав","БетБіт",14,114,"","","Все що не сказав",2023-05-06,02:52,74,75,50,0,70,0,10,-5,G#/A♭ Major,4,2023-07-19,1SBOSSypx95jH7v1kSbO3i,"БетБіт",4B,https://p.scdn.co/mp3-preview/bff2ab44df20a50974756621b26c0181b8ffc44a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a7cedd806025c8f809a5c6ef
49,"Гештальт","Cresco",6,133,"ukrainian hip hop","","Гештальт",2021-12-01,02:41,62,73,39,0,25,0,0,-6,F#/G♭ Minor,4,2023-07-19,7h1XVpkKZrtWX46ViD6Hjg,"Rolling Wave Records",11A,https://p.scdn.co/mp3-preview/f63ab03f17fda80949275683436a7df85f8f4ce6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519e864f7f7904b4229d0bb62f
50,"Весна","Mrzv",31,138,"","","Весна",2023-05-03,02:27,48,43,68,3,24,10,10,-9,E Major,5,2023-07-19,1Ovga4Tgo9tCcD2X5D1k6q,"ObrazcovMusic",12B,https://p.scdn.co/mp3-preview/c68f07ef696b6010d3be40e2a981fff157f8949c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515631929f601e898e097e40b4
51,"Гриміти","Tochi",27,135,"","","Гриміти",2023-03-06,02:12,72,65,18,0,96,0,10,-8,F Minor,4,2023-07-20,4hDLWTwWBthCUrZd17Gg3h,"hitmakers",4A,https://p.scdn.co/mp3-preview/f48240ea06b4453a3aa3d348489e5167e46222ba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485116abb83a656593dfac89c904
52,"TOQTA","ALPHA",29,104,"kazakh pop","Pop","HIT",2022-12-27,02:47,77,76,15,0,84,0,0,-7,C♯/D♭ Minor,4,2023-07-20,1YuEgvmp3453XtVO8LJdXe,"TEN LABEL",12A,https://p.scdn.co/mp3-preview/704b1b23c716e0d1d43cfa278c57a88278ede034?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ac4d02e7e478f7d5bba060db
53,"Qansha kun?","Sadraddin",45,108,"kazakh hip hop","","Qansha kun?",2023-07-05,02:46,69,77,16,0,84,0,10,-5,F Minor,4,2023-07-20,0kGOxOKLhO0cbWuyogXRns,"Turan Media",4A,https://p.scdn.co/mp3-preview/6aab73d3be526065d2c6d60d44a729794b3dd77e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a41a7424484f893fd4fe56be
54,"MOMENT","BURLA",38,120,"ukrainian viral pop","","MOMENT",2022-03-04,02:10,88,76,22,0,80,0,10,-8,A Minor,4,2023-07-20,2tkQLIS9QZzlW5yh0fKRBn,"Plan",8A,https://p.scdn.co/mp3-preview/55092a59d36d0402dd3d282addb1d6c5a11d0b36?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ece81de6c2ddf005e2e68597
55,"Adrenalin","DJ Shone,Fox,Vlada Matovic",16,100,"turbo folk, balkan trap","R&B, World/Traditional","Najveci Hitovi 2020 Vol. 1",2021-03-04,02:38,80,90,26,0,24,10,0,-4,G Major,4,2023-07-20,5Iqn7SSt4gIBnvSel9tMYJ,"IDJTunes",9B,https://p.scdn.co/mp3-preview/68e2f2cb276fe40cbeb0f06961dc844374566df4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485151430f4b03fd7c5100275285
56,"полум'я","дитя скорботи,CRUSHGLAD",25,127,"","","полум'я",2023-03-17,02:46,64,48,14,0,21,0,10,-9,F Major,4,2023-07-20,7B8VaNe4OT8Hui9lkpMGHa,"Plan",7B,https://p.scdn.co/mp3-preview/19d4266f7c963e0714b208203f65c04360b6c08b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e900703d838e23f21b13fdf1
57,"Я не проживу без тебе","Ната Лі,ЗАЛІСКО",36,126,"ukrainian pop","Pop","Я не проживу без тебе",2016-08-08,03:34,79,93,13,0,90,0,30,-7,C Minor,4,2023-07-21,7p9sgQHGqpWb3PqINhmBIe,"Gm Digital",5A,https://p.scdn.co/mp3-preview/8fd0baf83d06ac989751ff7e18cbe06fae77b9ba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d87090f948b68a9a53420bc9
58,"Біла ніч","Voloshyn",35,140,"","","Біла ніч",2023-02-20,02:38,64,65,26,0,42,0,30,-6,E Minor,4,2023-07-21,3NfittgBN1KnP5kHUsJCzx,"Monopoly Music",9A,https://p.scdn.co/mp3-preview/5a10500883935a3b5afdf24de116fcb7f7cac283?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485144db6090297069bba5bef9ca
59,"Қыз Іздеймін","Adilet Jaygashar",27,92,"kazakh pop","Pop","Қыз Іздеймін",2020-08-06,03:06,70,89,57,0,63,0,30,-5,A Minor,4,2023-07-21,3spHwXntnO6FehPaDTwRrp,"AGUGAI",8A,https://p.scdn.co/mp3-preview/fc55277f2d2324637a9c754c36a3c973a51ebec3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ed0dbe7e159ee6c1636f001
60,"Taspa - Sped Up","Dosekesh",49,92,"kazakh pop","Pop","Taspa (Sped Up)",2023-05-06,03:20,30,69,20,0,39,0,0,-7,G#/A♭ Major,4,2023-07-21,7AiVR5YHl72TAttrLxFTUj,"õzen",4B,https://p.scdn.co/mp3-preview/a2d1e3c4f94c4de7bcd61549e35e5e65c9a5043f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851817ea809aec10cbab91ce3ba
61,"Сен көріктісің","Amre",23,125,"kazakh pop","Pop","Сен көріктісің",2022-03-02,02:58,77,90,0,0,58,0,0,-5,G#/A♭ Major,4,2023-07-21,04o1zRBDNm4rJVqNrdFbmn,"Turan Media",4B,https://p.scdn.co/mp3-preview/318f1bb983869eb774f8de77cdd71043b2e6a10c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513956cf7bd05cf4d77aaf0c79
62,"Байрағым","AlZaBi",34,170,"central asian hip hop, kazakh hip hop","","Байрағым",2022-01-29,02:49,63,73,44,0,72,30,10,-6,F#/G♭ Minor,4,2023-07-21,6UaOAxbR2q7IfAxCBKvLbO,"Turan Media",11A,https://p.scdn.co/mp3-preview/3bc98a44fc125ded75391997a41e30d66e71ec1a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851edd5842cf0f1abba6d861465
