#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Melodia","Melinda Ademi",0,99,"albanian pop","Pop","Melodia",2021-11-06,02:50,57,74,28,0,42,10,10,-7,D#/E♭ Minor,4,2023-06-03,4kyD4246gRwjuQTV2lZC1D,"℗ & © AVD Digital & Melinda Ademi",2A,,https://i.scdn.co/image/ab67616d000048514a5d20db28e1e8e89be5aa4e
2,"A mke dasht","Melinda Ademi,Ledri Vula",53,113,"albanian pop, albanian hip hop, kosovan pop","Hip Hop, Pop","A mke dasht",2022-07-13,03:26,88,69,5,0,57,0,0,-6,D#/E♭ Minor,4,2023-06-03,5rEU32oi1QheLYBTXTVTDR,"Melinda Ademi",2A,https://p.scdn.co/mp3-preview/df77f65bb8a10f3932ef3d9d4e13ad3cc1fe4854?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512c3fd92cec2cf36629824734
3,"Milano","Finem,Melinda Ademi",54,94,"albanian pop","Pop","Milano",2022-09-21,02:36,80,73,32,0,35,0,10,-4,C♯/D♭ Minor,4,2023-06-03,3kOuvOlIqa2EcW9hG5LKyt,"Fole Publishing",12A,https://p.scdn.co/mp3-preview/d748ee101f919f3e379139c0704c869f0e81e54b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f9a75e770561ddffd8b88b7d
4,"MERE","Melinda Ademi",50,200,"albanian pop","Pop","MERE",2023-02-08,03:50,48,47,40,0,36,40,0,-8,A#/B♭ Minor,4,2023-06-04,39WlCNOcIjorep62g7BUvL,"Melinda Ademi",3A,https://p.scdn.co/mp3-preview/51c3a0b8c18ef890bd986545b61bcf571a29578c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e34f657f0acb663a2ce8eda9
5,"Ike","Kida",38,120,"albanian pop","Pop","Orchide",2021-12-21,02:39,50,65,14,0,80,10,30,-5,G#/A♭ Minor,5,2023-06-03,2tIu7VoypMwcDairT7acnu,"Urban",1A,,https://i.scdn.co/image/ab67616d00004851a41e9e5fe612812c641263c1
6,"Mo jo","Kida",36,90,"albanian pop","Pop","Orchide",2021-12-21,03:05,79,86,41,0,76,0,0,-5,G Minor,4,2023-06-03,6EGMQCGD7LflA0wfGXCBWb,"Urban",6A,,https://i.scdn.co/image/ab67616d00004851a41e9e5fe612812c641263c1
7,"Besame","Dhurata Dora",61,96,"albanian hip hop, albanian pop, frauenrap","Hip Hop, Pop, R&B","DHURATA",2023-03-02,03:07,78,63,4,0,48,0,10,-7,D#/E♭ Minor,4,2023-06-03,1cvHX1H4DUZd09pcxkDNRD,"Epic/Ilir Balija",2A,https://p.scdn.co/mp3-preview/cbbbbcb0457346c318b93c3e0cc2bc7f1b8ce0dd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485165a83e777210f3e44ce5f3e1
8,"DASHNI","Alketa",52,100,"albanian pop","Pop","DASHNI",2022-12-16,02:42,67,54,12,0,78,0,20,-6,E Minor,4,2023-06-04,2X4JGVR18x3Uz10oXJmbc2,"SBS Ent.",9A,https://p.scdn.co/mp3-preview/df676e9a9b788fcb697f7d31f6005e1e3fa68760?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514eca4e28295aa082c0c6e78c
9,"Monotonia","2Ton,Nego",42,96,"albanian hip hop, albanian pop","Hip Hop, Pop","Monotonia",2022-10-21,02:31,76,74,48,0,66,10,10,-5,E Major,4,2023-06-03,6MIC54EexRABzYduuqb4hB,"2Ton, by Yellowcake, Inc.",12B,https://p.scdn.co/mp3-preview/ed865ffa46909e62ef133c1ccb56feece0290035?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515dbdf87df179ce20a6cec0ff
10,"KARMA","Nego",35,91,"albanian pop","Pop","KARMA",2020-12-19,02:59,53,93,14,0,88,10,10,-5,G#/A♭ Minor,4,2023-06-03,4lSj5aP1q3o0Rj6WDLogkm,"Naser Ademi",1A,https://p.scdn.co/mp3-preview/987e13bf3e130626e2ac03c7ab6798114374c310?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c300d046efecee754457efd
